Document ID,Preprocessed Review,Sentiment
18,dont understand glowing review movie completely unrealistic illogical many way none made sense anyone slightest clue fighter jet bunch cowboy yahoo b year old maverick showing youngins donethe plot contrived quite frankly boring watched movie ago understand people enjoyed action dont understand review saying epic blockbuster first movie great yet somehow ranked sequel much worse somehow average rating doesnt make sense,Negative
19,dont understand glowing review movie completely unrealistic illogical many way none made sense anyone slightest clue fighter jet bunch cowboy yahoo b year old maverick showing youngins donethe plot contrived quite frankly boring watched movie ago understand people enjoyed action dont understand review saying epic blockbuster first movie great yet somehow ranked sequel much worse somehow average rating doesnt make sense,Negative
20,top gun maverick great movie wasnt lot good movie think good movie great cinematography great choice song loved realism scenesi believe scene rooster saved maverick maverick helped get used f best scene really liked movie think watch really liked usage song movie especially used song aint worried liked maverick anything even risky liked movie realistic mean hero lot wrong thing corrected ending great,Positive
21,top gun maverick great movie wasnt lot good movie think good movie great cinematography great choice song loved realism scenesi believe scene rooster saved maverick maverick helped get used f best scene really liked movie think watch really liked usage song movie especially used song aint worried liked maverick anything even risky liked movie realistic mean hero lot wrong thing corrected ending great,Positive
22,perhaps people really needed something familiar great movie writing standard action film considerably le funny action excellent bracketed illconceived love story cruise connelly discernable chemistry read early review would think saving private ryan fact lesser version original sentimental inclusion val kilmer nice touch felt exploitative time scene hard suspend disbelief like bar full gen z pilot listening singing along exclusively rock ballad guess expecting much based upon prior rating top movie top tom cruise movie,Positive
23,top gun maverick absolute best feel good movie ever best ever everything movie perfect tom cruise best val kilmer battling throat cancer give inspiring performance entire cast great acting spot one nothing top watched first time saying happen next every time movie best thing come hollywood long long time story line showcase bravery determination american serviceman hope still exists made usa greatest powerful nation ever existed,Positive
24,top gun maverick absolute best feel good movie ever best ever everything movie perfect tom cruise best val kilmer battling throat cancer give inspiring performance entire cast great acting spot one nothing top watched first time saying happen next every time movie best thing come hollywood long long time story line showcase bravery determination american serviceman hope still exists made usa greatest powerful nation ever existed,Positive
25,top gun maverick wind hair perfect example cult movie sequel intro immediately movie light opening youve called back top gun transition plane start flying danger zone berry cake continued opinion turned even better one hand understandable technically everything become much cooler shooting cockpit plane fly one best thing top gun maverick plot also quite interesting precisely task rise pilot course separate applause tom cruise continues amaze stunt control real combat fighter,Positive
26,one best cinematic experience truly ever theater heartfelt exhilarating right emotional tom cruise turn one best performance top gun becomes one best film careerthe best aerial action sequence ever amaze even highest expectation due absolutely insane real stunt largely flawless contribution filmmaking elementsin every way still silly many respect also satisfying emotional arc really wasnt impressed found incredibly cheesy uninteresting continued think negatively,Positive
27,one best cinematic experience truly ever theater heartfelt exhilarating right emotional tom cruise turn one best performance top gun becomes one best film careerthe best aerial action sequence ever amaze even highest expectation due absolutely insane real stunt largely flawless contribution filmmaking elementsin every way still silly many respect also satisfying emotional arc really wasnt impressed found incredibly cheesy uninteresting continued think negatively,Positive
28,year since last mission maverick appears pilot achieved mediocrity time come prove nato threat call fleet elite pilot extinguish target youre heartfelt journey filled elegant supersonic jet maneuver navy salute nostalgic callback initial top gunthis film struck immaculate balance action storytelling hardly dull moment movie even though felt shouldve maverick arc flying think see enough life ground know real especially loved interaction pilotsone pilot particular juxtaposition undeniably made aftermath first film feel real raw relatable anyone experienced lossits energetic adventure take sky,Positive
29,admit e first movie annoying european bunch fist pouring military aggression u propaganda like craft well implemented message war good u military good rest world badnow get say swept nostalgia aged le militant found story well crafted positive ver moved val kilmer still war american aggression taken movie feel like found way transcend militaristic propaganda tapped lost sentimentality imbue good movie,Positive
30,ive never rated film nothing perfect everything improved bar one two miniscule idiosyncrasy closest film come perfection cant help rate several exceptional rated film watched final action sequence x best minute film ever ive watched time every time never fails get adrenaline flowing eye watering first top gun seminal film childhood bettered every way incredible inplane shot aerial cinematography beautifully shot well acted masterpiece may never tire watching,Positive
31,whole family thought really good movie one best sequel seen didnt tell original story sprinkled piece original one story didnt spend half movie retelling original like sequel thought good plenty room make series plenty character keep movie going could continue several sequel telling original plot without retelling original movie thought tom cruise good movie definitely worth watching,Positive
32,whole family thought really good movie one best sequel seen didnt tell original story sprinkled piece original one story didnt spend half movie retelling original like sequel thought good plenty room make series plenty character keep movie going could continue several sequel telling original plot without retelling original movie thought tom cruise good movie definitely worth watching,Positive
33,whole family thought really good movie one best sequel seen didnt tell original story sprinkled piece original one story didnt spend half movie retelling original like sequel thought good plenty room make series plenty character keep movie going could continue several sequel telling original plot without retelling original movie thought tom cruise good movie definitely worth watching,Positive
34,whole family thought really good movie one best sequel seen didnt tell original story sprinkled piece original one story didnt spend half movie retelling original like sequel thought good plenty room make series plenty character keep movie going could continue several sequel telling original plot without retelling original movie thought tom cruise good movie definitely worth watching,Positive
35,reason get star flying scene rest regurgitation original top gun plot original star war going canyon hit ventilator shaft meter across destroy target even mel brook creative spaceballsand cruse telling rooster stop thinking told use forceit great seeing val kilmer though one actor miss dearly moviesfor love story could least picked different housesetting original movieoh russia doesnt use protect high stake military installation,Positive
36,feld really bad missed watch epic imax screen really worth watch phenomenal making word express happiness really enjoyed watch epic action movie litterly travelled jet along moviei feld really bad missed watch epic imax screen really worth watch phenomenal making word express happiness really enjoyed watch epic action movie litterly travelled jet along moviei feld really bad missed watch epic imax screen litterly travelled jet along movie,Positive
37,feld really bad missed watch epic imax screen really worth watch phenomenal making word express happiness really enjoyed watch epic action movie litterly travelled jet along moviei feld really bad missed watch epic imax screen really worth watch phenomenal making word express happiness really enjoyed watch epic action movie litterly travelled jet along moviei feld really bad missed watch epic imax screen litterly travelled jet along movie,Positive
38,story writing action tom cruise tom cruise like guy know make good action movie great summer blockbuster want true cinema experience go movie didnt saw imax wish way better original miss goose though tom cruise like wine older better miss iceman glad brought back given current health condition even minute screen timei think top maybe top movie year clearly amazingps chance watch imax,Positive
39,shouldve spectacular movie one best dogfighting scene one ever seen truly amazingly shot splendid performance cinematographybut doesnt help fact plot relying extremely overused clichés felt like plot deliberately written way include every single cliché hollywood ever used could tell easily would happening minute later literally sleeping last minute filmthere ridiculous extremely unoriginal clichés movie stood restthe bartender mean maverick kicking bar really stupid unrealistic rule instantly regretted maverick looking sad face eye door day later would hooking course daughter isnt sleeping yet finished sex jump window course daughter see downstairsthe protagonist literally immortal antagonist would forget beef entire life mishandled paperwork protagonist danger antagonist help risking lifethe plane would malfunction gadget exactly would needing use gadgetthe movie us load cheap stereotype worth mentioningonly hollywood certified tough guy drinking barif someone wearing glass must awkward nerd zero social skill humor simply bad eyesi really mad hollywood cant break away clichés everyone already used start making movie interesting unique plot wondering cinema dying movie like reason,Positive
40,film went see wasnt expecting see saw amazing loved every minute tom cruise amazing returning big screen play maverick absolutely blew away acting amazing really enjoyable see film even better original original really good recommend age nothing inappropriate one f bomb basically ton action peril towards end really enjoyable see fly plane favorite part end snow fighting really recommend movie hope enjoy,Positive
41,film went see wasnt expecting see saw amazing loved every minute tom cruise amazing returning big screen play maverick absolutely blew away acting amazing really enjoyable see film even better original original really good recommend age nothing inappropriate one f bomb basically ton action peril towards end really enjoyable see fly plane favorite part end snow fighting really recommend movie hope enjoy,Positive
42,high school watch first one jrotc last year saw one theater curious im year old girl hate action movie movie truly amazing perfect mix comedy emotion romance action perfect age never get bored movie love rewatch highly recommend someone doesnt like type movie really awesome music actor great story heartwarming wont make sad enjoy first one well one sure betterthis definitely one faves,Positive
43,high school watch first one jrotc last year saw one theater curious im year old girl hate action movie movie truly amazing perfect mix comedy emotion romance action perfect age never get bored movie love rewatch highly recommend someone doesnt like type movie really awesome music actor great story heartwarming wont make sad enjoy first one well one sure betterthis definitely one faves,Positive
44,lady gentleman tom cruise proved u best actor generation movie fantastic thrilling adrenaline triggering movie stood others year spent budget delivering exciting plot hiring actor renowned acting movie inspiring truly captivating audience mesmerizing action adhd still able concentrate throughout movie unlike action movie produced since covid pandemic conclusion movie exceeded way beyond expectation im looking forward next movie starring tom cruise,Positive
45,saw theatre ive watched top gun say maverick edge original cant believe tom cruise make banger movie dogfight entertaining liked modern felt obviously considering made scenery especially mountain amazing joke actually pretty nice love story felt much natural original also liked invited actor original top gun val kilmer cruise sequel wouldve liked see honestly character iceman played honored well overall one best movie ive seen,Positive
46,someone saw original one back payperview channel little beginning scene mention ive yet watch actually liked sequel made year later tom cruise val kilmer reprising role maverick iceman respectively quite engaging story plenty fine actionpacked flying scene also jennifer connelly made fine leading lady cruise request mom even decided borrow dvd library since didnt get finish recent flight also kudos reprising harold faltermeyer score kenny loggins theme song danger zone yes thats high recommendation top gun maverick,Positive
47,someone saw original one back payperview channel little beginning scene mention ive yet watch actually liked sequel made year later tom cruise val kilmer reprising role maverick iceman respectively quite engaging story plenty fine actionpacked flying scene also jennifer connelly made fine leading lady cruise request mom even decided borrow dvd library since didnt get finish recent flight also kudos reprising harold faltermeyer score kenny loggins theme song danger zone yes thats high recommendation top gun maverick,Positive
48,fine blockbuster minimal acting filled cringy catchphrase bad clichés nothing nothing lessi understand excitment big fan first top gun movie dont mistake nostalgia quality wasnt good movie acting writingthe little plot unrealastic uninteresting good thing movie flashback borrowed plot first oneit honestly comedy blockbuster reason higher supposed parody delaney rowe eat heart,Positive
49,risk bring back top gun beloved film continues sequel massive gambleand pay maverick silly top gun great fun real old fashioned blockbuster film fair play tom cruise gut risk neck one sense bringing character backits visually stunning story hold part one gaping character omission given reason cruise top form although character bit two dimensional jennifer connelly great everit probably suffers one many late twist minor thingall triumph,Positive
50,perfect movie opinion loved every single moment much saw theater time nostalgia action story phenomenal opinion one best movie ever made know lot people giving flack giant advertisment navy he naval aviator course thats going centered around always movie recommend everyone see original top gun special place heart think movie go beyond paying homage without redundant think tom crown jewel,Positive
51,film inspiring interested aviation military showcase dedication skill teamwork required become fighter pilot motivating individual pursuing similar career aspiring achieve goal field top gun often praised portrayal camaraderie professionalism among military personnelthe movie cultural impact become part popular consciousness introduced many people world aviation influenced perception fighter pilot also brought attention work u navy generated interest armed force,Positive
52,really dont get hype surrounding movie story movie trying tell pretty boring convoluted interesting well placed nostalgic shoutouts og top gun many felt like watching highlight reelthe roostermaverick drama far fabricated overblown going huge rift surely could come something better maverick interfering rooster naval academy applicationthere seemed like could solid maverickiceman tension competition hangman rooster never materializedthe thing cringe sand volleyball jean og awkward game football meant team building exercise completely placeand mission maverick training young pilot basically attack death star scene end star warsthe story told didnt move needle butevery single scene involved flying incredible every single scene whether training battle awesome absolutely amazing definitely make movie worth watching star story star flightcombat scene,Positive
53,really dont get hype surrounding movie story movie trying tell pretty boring convoluted interesting well placed nostalgic shoutouts og top gun many felt like watching highlight reelthe roostermaverick drama far fabricated overblown going huge rift surely could come something better maverick interfering rooster naval academy applicationthere seemed like could solid maverickiceman tension competition hangman rooster never materializedthe thing cringe sand volleyball jean og awkward game football meant team building exercise completely placeand mission maverick training young pilot basically attack death star scene end star warsthe story told didnt move needle butevery single scene involved flying incredible every single scene whether training battle awesome absolutely amazing definitely make movie worth watching star story star flightcombat scene,Positive
54,gone gut instinct regarding top gun maverick telling would plot hardly actingtom cruise forgotten act doesnt used really wellhes glorified stunt mansam watched minute last night could longer suspend disbelief sheer lack story first one good story ffs absolute lie fighter jet jet capable ofthe u military fastest plane go mach one ejection speed plane disintegrated one crew member died pretty much immediately series sheer miraculous happy accident survived badly injured slower reasonable speed bone break due forget well severe injuriesso could maverick fly plane go mach eject walk away landingif cant get basic believable scientific fact right would believe one single thing damn movie forced give trying suspend disbelief suspend much guysit advertised actionaviation actionfantasy,Positive
55,gone gut instinct regarding top gun maverick telling would plot hardly actingtom cruise forgotten act doesnt used really wellhes glorified stunt mansam watched minute last night could longer suspend disbelief sheer lack story first one good story ffs absolute lie fighter jet jet capable ofthe u military fastest plane go mach one ejection speed plane disintegrated one crew member died pretty much immediately series sheer miraculous happy accident survived badly injured slower reasonable speed bone break due forget well severe injuriesso could maverick fly plane go mach eject walk away landingif cant get basic believable scientific fact right would believe one single thing damn movie forced give trying suspend disbelief suspend much guysit advertised actionaviation actionfantasy,Positive
56,gone gut instinct regarding top gun maverick telling would plot hardly actingtom cruise forgotten act doesnt used really wellhes glorified stunt mansam watched minute last night could longer suspend disbelief sheer lack story first one good story ffs absolute lie fighter jet jet capable ofthe u military fastest plane go mach one ejection speed plane disintegrated one crew member died pretty much immediately series sheer miraculous happy accident survived badly injured slower reasonable speed bone break due forget well severe injuriesso could maverick fly plane go mach eject walk away landingif cant get basic believable scientific fact right would believe one single thing damn movie forced give trying suspend disbelief suspend much guysit advertised actionaviation actionfantasy,Positive
57,incredible breath fresh air brilliantly entertaining film action packed zero politics far could tell phew character love fun story smiling engaged possibly best film term entertainment least last decade moreif seen original top gun see first get benefit reference filmthis film really cheered isolation covid lockdown highly recommended everyone met anyone didnt love film really seem appeal everyone,Positive
58,action non stop tom cruise delivers every step way buff cast golden smile hardly slow period film love story subdued probably due age era looking another steamy scene like first top gun take breath away playing may disappointed yet overjoyed see tom cruise darting window lover fall foot front teenage child thought funniest scene film overall concept mission akin targeting womprats meter classic star war hey isnt technology airforce day film way brining recruit kudos number woman pilot film well outstanding thought dialogue weak music though classic helped give epiphany like swoosh flyboy scene thanks making,Positive
59,movie including dialogue completely predictable youre watching movie plot dialogue sit back enjoy really awesome flight scene know movie going go least anyone saw original movie similar genre dont go expecting deeper meaning plot twist anything like good clean fun action flick action start bit slow hang youll rewarded flight truly amazing tom cruise look pretty amazing year old,Positive
60,really questioned would make sequel one overrated movie one definitely better part chemistry tom cruise jennifer connelly mostly last minute great flying scene really kept guessing going happen next negative felt like plot get tom cruise teach mission pretty contrived didnt make much sense many scene thinking talking goose death get overall decent movie opinion worth hype got last year came,Positive
61,top gun released although seems cheesy outdated looking forward maverick cinema wow tear nostalgia overload loved everything story action great actor tom cruise still look great maverick probably watched time get choked every timethe perfect sequel ending story need maverick life slightly sad ill probably never get see pete mitchell best movie year top time tom cruise nailed,Positive
62,movie look fantastic k bluray edition however story extremely underwhelming play like demo would see walk tv store cool part fine dialogue read like written yearold kid never watched original top gun may invalidate review certainly feel like one engaging know despite story going plan see extremely epic plane action movie disappointed,Positive
63,best place movie big screen action sound visuals outstanding pacing moment memorable take breather build character fly next part adventure sure female character minor character probably neglected focus goose maverick pivotal successmaybe film doesnt translate well small screen wouldnt knowthey really dont make blockbuster action popcorn movie like anymore homage movie show massive respect first top gun,Positive
64,best place movie big screen action sound visuals outstanding pacing moment memorable take breather build character fly next part adventure sure female character minor character probably neglected focus goose maverick pivotal successmaybe film doesnt translate well small screen wouldnt knowthey really dont make blockbuster action popcorn movie like anymore homage movie show massive respect first top gun,Positive
65,film better original almost every single way besides maybe music soundtrack standpoint han zimmer pop tom cruise usual flying plan making movie ill tell feel flying one action seamless want thank tom hammering home fact thing practically still translates wonderfully film friend korea loved even work youre america im sure say first one kosinski crafted strongest film yet even close mile teller usual bring nuance performance rooster mark word glen powell huge star start diverse role film awesome highly recommend watch group,Positive
66,pre ordered dvd watch watched month receiving ask well worried wouldnt meet expectation loving gun worried would arguing loosing goose constant thought rooster hating maverick making think twice movie glad watched animosity something completely different constant arguing like thought would dont think could put actor place guy girl fantastic job keeping top gun movie great original,Positive
67,hesitated watching first enjoyable didnt lasting memory try let prejudice dictate reaction kind movie generally plot cliched course tom cruise show acting chop much subtle portrayal realistic human carrying around guilt many year get know graduate top gun training care mission challenging followed without trouble romantic angle doesnt detract classic adventure movie lot close call escape bit throwback lot,Positive
68,hesitated watching first enjoyable didnt lasting memory try let prejudice dictate reaction kind movie generally plot cliched course tom cruise show acting chop much subtle portrayal realistic human carrying around guilt many year get know graduate top gun training care mission challenging followed without trouble romantic angle doesnt detract classic adventure movie lot close call escape bit throwback lot,Positive
69,hesitated watching first enjoyable didnt lasting memory try let prejudice dictate reaction kind movie generally plot cliched course tom cruise show acting chop much subtle portrayal realistic human carrying around guilt many year get know graduate top gun training care mission challenging followed without trouble romantic angle doesnt detract classic adventure movie lot close call escape bit throwback lot,Positive
70,hesitated watching first enjoyable didnt lasting memory try let prejudice dictate reaction kind movie generally plot cliched course tom cruise show acting chop much subtle portrayal realistic human carrying around guilt many year get know graduate top gun training care mission challenging followed without trouble romantic angle doesnt detract classic adventure movie lot close call escape bit throwback lot,Positive
71,hesitated watching first enjoyable didnt lasting memory try let prejudice dictate reaction kind movie generally plot cliched course tom cruise show acting chop much subtle portrayal realistic human carrying around guilt many year get know graduate top gun training care mission challenging followed without trouble romantic angle doesnt detract classic adventure movie lot close call escape bit throwback lot,Positive
72,watched movie theater friend excited also saw movie tom cruise amazing movie effect awesome dont passion plane stuff like movie much fun final battle intense ending amazing definitely expectation best movie saw theater good wished longer cant wait see another sequel franchise way better first one think everybody agrees good,Positive
73,watched movie theater friend excited also saw movie tom cruise amazing movie effect awesome dont passion plane stuff like movie much fun final battle intense ending amazing definitely expectation best movie saw theater good wished longer cant wait see another sequel franchise way better first one think everybody agrees good,Positive
74,top gun maverick visually stunning movie aerial combat scene best ive ever seen movie movie also great story full action humor hearti highly recommend top gun maverick anyone love action movie aviation tom cruise great movie leave entertained inspiredtom cruise great maverick brought charisma intensity role original top gunthe supporting cast also great mile teller jennifer connelly glen powell val kilmer gave great performance,Positive
75,top gun maverick visually stunning movie aerial combat scene best ive ever seen movie movie also great story full action humor hearti highly recommend top gun maverick anyone love action movie aviation tom cruise great movie leave entertained inspiredtom cruise great maverick brought charisma intensity role original top gunthe supporting cast also great mile teller jennifer connelly glen powell val kilmer gave great performance,Positive
76,top gun maverick visually stunning movie aerial combat scene best ive ever seen movie movie also great story full action humor hearti highly recommend top gun maverick anyone love action movie aviation tom cruise great movie leave entertained inspiredtom cruise great maverick brought charisma intensity role original top gunthe supporting cast also great mile teller jennifer connelly glen powell val kilmer gave great performance,Positive
77,top gun maverick visually stunning movie aerial combat scene best ive ever seen movie movie also great story full action humor hearti highly recommend top gun maverick anyone love action movie aviation tom cruise great movie leave entertained inspiredtom cruise great maverick brought charisma intensity role original top gunthe supporting cast also great mile teller jennifer connelly glen powell val kilmer gave great performance,Positive
78,ego arrogance conceit one upmanship gung ho top people normalor hero old military fighter pilot target mission could taken mean would constructed mountain first place instead underground nothing believable movie yes flying scene good rekindled romance dead water spark two jennifers part could written best propoganda film showing might top gun enemy never mentioned name movie yes lot action action fantasy,Positive
79,grew watching original top gun movie imo movie propaganda military one best classic movie prior year remake movie maverick back top gun instructor lead young pilot mission year covid pandemic watched many movie none good deserve star movie first movie since pandemic worth watching good storyline romance realistic plane dogfight scene dont think cgi hell yeah good ending ending copy star war fact ending top gun much better yeah much better ending suspense drama awesome dogfight overall good remake original top gun movie worth watching even war movie fan,Positive
80,grew watching original top gun movie imo movie propaganda military one best classic movie prior year remake movie maverick back top gun instructor lead young pilot mission year covid pandemic watched many movie none good deserve star movie first movie since pandemic worth watching good storyline romance realistic plane dogfight scene dont think cgi hell yeah good ending ending copy star war fact ending top gun much better yeah much better ending suspense drama awesome dogfight overall good remake original top gun movie worth watching even war movie fan,Positive
81,liked tom cruise movie liked top gun however top gun maverick work first kind slow many year passed movie moving faster least action movie lot tribute original little much second story captivating sure viewer attention wondered especially sort similar character compared original third younger generation character interesting cliched hate say guess never watched original average mediocre expectation may like,Positive
82,absolutely nothing new even managed copy scene star war prof desperate people new movie pandemic surprising kill thru could bring back miracle next movie im surprised didnt bring goose back life somehow loved first movie avoid one redeeming value flying scene pretty much spoiled wit hmm f movie im actually surprised didnt steal plane firefox movie would made sense sad remake,Positive
83,honestly bit surprised see able amazing old school action movie there truly never dull moment top gun maverick one rare case sequel better original really add franchise instead phoning like typical soulless rehash cash grab ending bit predictable overall pure adrenaline inducing enjoyable movie rewatch able wouldnt surprised ended classic first one feel like cherished much mainly due nostalgia,Positive
